sc_ch_raw,tableLbink,sc_ch_raw_clean,semantic_0_clean,raceTerm,ethnicTerm
Menthol × Other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892658,menthol × other,,,
Menthol × Race (overall),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892658,menthol × race  overall,,,
Mexican,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77035975,mexican,,,
Mexican American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77034085,mexican american,,,
Mexican American 1990s %,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013646,mexican american 1990s,,,
Mexican American 1990s (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013646,mexican american 1990s  95  ci,,,
Mexican American 2000s %,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013646,mexican american 2000s,,,
Mexican American 2000s (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013646,mexican american 2000s  95  ci,,,
Mexican American Absolute % change 1990s–2000s,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013649,mexican american absolute   change 1990s–2000s,,,
Mexican Americans,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36550905,mexican americans,,,
Mexican Americans Both genders OR (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36550920,mexican americans both genders or  95  ci,,,
Mexican Americans Female OR (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36550920,mexican americans female or  95  ci,,,
Mexican Americans Male OR (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36550920,mexican americans male or  95  ci,,,
"Mexican, Hispanic, or Latino",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/112983157,mexican  hispanic  or latino,,,
Middle Eastern,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113606620,middle eastern,,,
Middle-Eastern,"http://www.tobaccoinduceddiseases.org/Smoker-perceptions-of-health-warnings-on-cigarette-npackaging-and-cigarette-sticks,104753,0,2.html#t0001",middle eastern,,,
"Military veteran, N (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,military veteran  n,,,
Minority,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53629333,minority,,,
Minority (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/82286205,minority,,,
Minority status,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/54730401,minority status,,,
Minority vs Chinese Han,"http://www.tobaccoinduceddiseases.org/To-text-or-not-to-text-Acceptability-of-WeChat-and-text-nmessaging-intervention-to,114089,0,2.html#t0003",minority vs chinese han,,,
Missing,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53627824,missing,,,
Missing/Don’t Know/Refused,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116437432,missing don’t know refused,,,
Missing/unknown,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204126185,missing unknown,,,
Missingd,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/96536039,missingd,,,
Mixed,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/92425481,mixed,,,
Mixed British and Caribbean,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113588495,mixed british and caribbean,,,
Mixed Race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/164224155,mixed race,,,
Mixed race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204702944,mixed race,,,
Mixed race/other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/165678201,mixed race other,,,
Mixed/other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113586836,mixed other,,,
"Mobile phone numbers, mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/183587281,mobile phone numbers  mean  sd,,,
Model 2: Race/Ethnicityd,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/163625327,model 2  race ethnicityd,,,
"Modified Fagerstrom Tolerance Questionnaire (mFTQ), mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/190482397,modified fagerstrom tolerance questionnaire  mftq   mean  sd,,,
"Momentary smoking, (yes) %",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137195525,momentary smoking   yes,,,
Mongolian,"http://www.tobaccoinduceddiseases.org/Prevalence-knowledge-and-education-level-associated-with-nsecondhand-smoke-exposure,119162,0,2.html#t0003",mongolian,,,
Mood disorder past year,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113580478,mood disorder past year,,,
"Moodie, Hastings, Joossens. Young adult smokers’ perceptions of illicit tobacco and the possible impact of plain packaging on purchase behaviour. European Journal of Public Health30","http://www.tobaccopreventioncessation.com/Standardized-packaging-and-illicit-tobacco-use-A-systematic-review,70277,0,2.html#t0002",moodie  hastings  joossens  young adult smokers’ perceptions of illicit tobacco and the possible impact of plain packaging on purchase behaviour  european journal of public health30,,,
More than 1 race/ethnicity,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53621584,more than 1 race ethnicity,,,
More than one,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202649723,more than one,,,
More than one race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113589377,more than one race,,,
More than one race/Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204704216,more than one race hispanic,,,
Mother’s ethnicity/race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204704971,mother’s ethnicity race,,,
Multi,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/119653227,multi,,,
Multi-race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204706124,multi race,,,
Multi-racial,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113588954,multi racial,,,
Multi-racial (NH),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42806980,multi racial  nh,,,
"Multi-racial, NH",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42806970,multi racial  nh,,,
Multi/other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32934956,multi other,,,
Multiethnic/multiracial,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/82284807,multiethnic multiracial,,,
Multiple,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/140385500,multiple,,,
Multiple races,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204607123,multiple races,,,
Multiple races/unknown race,"http://www.tobaccoinduceddiseases.org/ENDS-retailers-and-marketing-near-university-campuses-with-nand-without-tobacco-free,94600,0,2.html#t0001",multiple races unknown race,,,
Multiple/Other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/163625242,multiple other,,,
Multiple/not-releasable group,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202711019,multiple not releasable group,,,
Multiracial,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815563,multiracial,,,
Multiracial or mixed race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65424522,multiracial or mixed race,,,
Multiracial or other race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815038,multiracial or other race,,,
Multiracial/Mixed race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65424527,multiracial mixed race,,,
Multiracial/Unknown/Other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/124689234,multiracial unknown other,,,
Multiracial/native American/other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,multiracial native american other,,,
Multiracial/other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53618854,multiracial other,,,
"Multiracial/other, non-Hispanic",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32706994,multiracial other  non hispanic,,,
Māori,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42832193,māori,,,
N,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607304,n,,,
NH AA,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99872917,nh aa,,,
NH AI/AN or NHOPI,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139339,nh ai an or nhopi,,,
NH African American (N = 4213) Column %,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202648210,nh african american  n   4213  column,,,
NH African American (N = 4213) N,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202648210,nh african american  n   4213  n,,,
NH Asian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99872903,nh asian,,,
NH Asian/PI,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/95967727,nh asian pi,,,
NH Black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892649,nh black,,,
NH Black or Afr. Am.,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/206835338,nh black or afr  am,,,
NH Black/AA,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/95967727,nh black aa,,,
NH Other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/95967727,nh other,,,
NH White,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/95967727,nh white,,,
NH White (ref),"http://www.tobaccopreventioncessation.com/The-relationship-between-past-month-marijuana-cigarette-and-ncigar-use-among-older,84867,0,2.html#t0002",nh white  ref,,,
NH White (reference),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/206835338,nh white  reference,,,
NH black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/121765314,nh black,,,
NH more than one race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139339,nh more than one race,,,
NH other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/121765314,nh other,,,
NH other race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/222852919,nh other race,,,
NH other/multiraced,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204607200,nh other multiraced,,,
NH others,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/228604756,nh others,,,
NH white,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99872917,nh white,,,
NH-AI/AN,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892382,nh ai an,,,
NH-AI/AN/HI,"http://www.tobaccoinduceddiseases.org/Heterogeneity-in-past-year-smoking-current-tobacco-use-and-nsmoking-cessation-behaviors,125724,0,2.html#t0001",nh ai an hi,,,
NH-Asian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892382,nh asian,,,
NH-Black,"http://www.tobaccoinduceddiseases.org/Heterogeneity-in-past-year-smoking-current-tobacco-use-and-nsmoking-cessation-behaviors,125724,0,2.html#t0001",nh black,,,
NH-Multi,"http://www.tobaccoinduceddiseases.org/Heterogeneity-in-past-year-smoking-current-tobacco-use-and-nsmoking-cessation-behaviors,125724,0,2.html#t0001",nh multi,,,
NH-NH/PI,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892382,nh nh pi,,,
NH-NHOPI,"http://www.tobaccoinduceddiseases.org/Association-of-electronic-cigarette-use-with-self-reported-ndifficulty-concentrating,130925,0,2.html#t0001",nh nhopi,,,
NH-Other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/128203913,nh other,,,
NH-Others,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/225689284,nh others,,,
NH-White,"http://www.tobaccoinduceddiseases.org/Heterogeneity-in-past-year-smoking-current-tobacco-use-and-nsmoking-cessation-behaviors,125724,0,2.html#t0001",nh white,,,
NH-black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/97498083,nh black,,,
NH-others,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892382,nh others,,,
NH-white,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/97498083,nh white,,,
NHB,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/228112378,nhb,,,
NHW,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/228112378,nhw,,,
NHd-white,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/225689288,nhd white,,,
NHe-white,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/225689284,nhe white,,,
NZ European,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/96049681,nz european,,,
NZ Maori,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/117612873,nz maori,,,
NZ Māori,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/165678392,nz māori,,,
"National (Chinese-specific appeals such as famous monuments, architecture, and landscapes, and items with Chinese symbolism including specific flowers, animals, and mythical creatures such as dragons)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208138442,national  chinese specific appeals such as famous monuments  architecture  and landscapes  and items with chinese symbolism including specific flowers  animals  and mythical creatures such as dragons,,,
Native American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53621584,native american,,,
Native American or Alaskan Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116437877,native american or alaskan native,,,
Native American/Alaska Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42855905,native american alaska native,,,
Native American/Alaska native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405503,native american alaska native,,,
Native American/American Indian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65424522,native american american indian,,,
Native Hawaiian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948985,native hawaiian,,,
Native Hawaiian / Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113589377,native hawaiian   pacific islander,,,
Native Hawaiian and Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948985,native hawaiian and pacific islander,,,
Native Hawaiian or Other Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/140385500,native hawaiian or other pacific islander,,,
Native Hawaiian or Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113616496,native hawaiian or pacific islander,,,
"Native Hawaiian, other Pacific Islander",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/78443118,native hawaiian  other pacific islander,,,
Native Hawaiian/ Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948986,native hawaiian  pacific islander,,,
Native Hawaiian/OPI,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815563,native hawaiian opi,,,
Native Hawaiian/Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/82284807,native hawaiian pacific islander,,,
Native of Sabah,"http://www.tobaccoinduceddiseases.org/Malaysian-adolescents-exposure-to-secondhand-smoke-in-the-ncar-of-their-parents-guardians,122586,0,2.html#t0001",native of sabah,,,
Native of Sarawak,"http://www.tobaccoinduceddiseases.org/Malaysian-adolescents-exposure-to-secondhand-smoke-in-the-ncar-of-their-parents-guardians,122586,0,2.html#t0001",native of sarawak,,,
New Zealand,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53619268,new zealand,,,
New Zealand European,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120968147,new zealand european,,,
New Zealand European/Pākehā,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42832193,new zealand european pākehā,,,
New Zealand Maori,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/95129519,new zealand maori,,,
"New Zealand: Tobacco Use Survey (TUS, 2009)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/124688859,new zealand  tobacco use survey  tus  2009,,,
Nicotine Metabolite Ratio at Baseline (Mean (SD)),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137015786,nicotine metabolite ratio at baseline  mean  sd,,,
Nicotine dependence (0–10 scale)c,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113610873,nicotine dependence  0–10 scale c,,,
Nicotine dependence severity (FTND score),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45376828,nicotine dependence severity  ftnd score,,,
"Nicotine dependencec, mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/183587281,nicotine dependencec  mean  sd,,,
"Nicotine metabolism ratio, median (25th, 75th percentile)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204125591,nicotine metabolism ratio  median  25th  75th percentile,,,
"Nicotine replacement therapy during hospitalization, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/183587281,nicotine replacement therapy during hospitalization  n,,,
No,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113610752,no,,,
No response,"http://www.tobaccoinduceddiseases.org/Smoker-perceptions-of-health-warnings-on-cigarette-npackaging-and-cigarette-sticks,104753,0,2.html#t0001",no response,,,
No. of Homeless episodes,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33443064,no  of homeless episodes,,,
"No. of cigarettes per day, mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204302895,no  of cigarettes per day  mean  sd,,,
Non Maori,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/95129519,non maori,,,
"Non-African American (e.g. White, Hispanic, Asian, other)","http://www.tobaccopreventioncessation.com/An-examination-of-social-and-environmental-determinants-of-secondhand-smoke-exposure,131875,0,2.html#t0001",non african american  e g  white  hispanic  asian  other,,,
Non-African American/black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/228111623,non african american black,,,
Non-Arab (n=12),"http://www.tobaccopreventioncessation.com/Tobacco-cessation-support-among-dentists-A-cross-sectional-survey-in-Saudi-Arabia,75795,0,2.html#t0001",non arab  n 12,,,
Non-Estonian,"http://www.tobaccopreventioncessation.com/Factors-associated-with-desire-to-quit-smoking-among-nEstonian-physicians-Cross-sectional,93009,0,2.html#t0001",non estonian,,,
Non-European,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/117612804,non european,,,
Non-Han,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42239530,non han,,,
Non-Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33453135,non hispanic,,,
Non-Hispanic ( n = 113),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45370567,non hispanic   n   113,,,
Non-Hispanic (reference),"http://www.tobaccoinduceddiseases.org/Natural-American-Spirit-brand-preference-among-smokers-with-nmental-illness,94456,0,2.html#t0002",non hispanic  reference,,,
Non-Hispanic (referent),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/124689051,non hispanic  referent,,,
Non-Hispanic A/PI (n or %),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99874365,non hispanic a pi  n or,,,
Non-Hispanic AI or AN,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208138111,non hispanic ai or an,,,
Non-Hispanic AI/AN,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42817653,non hispanic ai an,,,
Non-Hispanic AI/AN (n or %),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99874365,non hispanic ai an  n or,,,
Non-Hispanic API,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208138111,non hispanic api,,,
Non-Hispanic African American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/123139297,non hispanic african american,,,
Non-Hispanic African American Mene M (SD),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137725303,non hispanic african american mene m  sd,,,
Non-Hispanic African American Overall sample M (SD),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137725303,non hispanic african american overall sample m  sd,,,
Non-Hispanic African American Womend M (SD),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137725303,non hispanic african american womend m  sd,,,
Non-Hispanic African American/black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948237,non hispanic african american black,,,
Non-Hispanic American Indian or Alaskan Native,"http://www.tobaccoinduceddiseases.org/Reasons-for-engagement-with-online-tobacco-marketing-namong-US-adolescents-and-young,99540,0,2.html#t0002",non hispanic american indian or alaskan native,,,
Non-Hispanic American Indian/Alaska Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99874375,non hispanic american indian alaska native,,,
Non-Hispanic American Indian/Alaskan Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99874369,non hispanic american indian alaskan native,,,
Non-Hispanic Asian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87402138,non hispanic asian,,,
Non-Hispanic Asian (vs. non-Hispanic white),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42810431,non hispanic asian  vs  non hispanic white,,,
Non-Hispanic Asian American/Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99874369,non hispanic asian american pacific islander,,,
Non-Hispanic Asian or Pacific Islander,"http://www.tobaccoinduceddiseases.org/Reasons-for-engagement-with-online-tobacco-marketing-namong-US-adolescents-and-young,99540,0,2.html#t0002",non hispanic asian or pacific islander,,,
Non-Hispanic Asian/HPI,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42817653,non hispanic asian hpi,,,
Non-Hispanic Asian/Pacific Islander,"http://www.tobaccoinduceddiseases.org/ENDS-retailers-and-marketing-near-university-campuses-with-nand-without-tobacco-free,94600,0,2.html#t0001",non hispanic asian pacific islander,,,
Non-Hispanic Black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87402138,non hispanic black,,,
Non-Hispanic Black versus Non-Hispanic White (p < .0002),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607107,non hispanic black versus non hispanic white  p    0002,,,
Non-Hispanic Blacks,"http://www.tobaccoinduceddiseases.org/Use-of-Electronic-Nicotine-Delivery-Systems-ENDS-by-npregnant-women-I-Risk-of-small,106089,0,2.html#t0001",non hispanic blacks,,,
Non-Hispanic Caucasian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607035,non hispanic caucasian,,,
Non-Hispanic Native American or other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204704966,non hispanic native american or other,,,
Non-Hispanic Other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120012365,non hispanic other,,,
Non-Hispanic Others,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/114476252,non hispanic others,,,
Non-Hispanic Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/222862032?guestAccessKey=b154b9f1-3faa-4d38-b55a-1e6bc722c8c3,non hispanic pacific islander,,,
Non-Hispanic White,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87402138,non hispanic white,,,
Non-Hispanic White (reference),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/107630319,non hispanic white  reference,,,
"Non-Hispanic White Female ( n = 21,112) % (95% CL)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36553218,non hispanic white female   n   21 112     95  cl,,,
"Non-Hispanic White Female ( n = 21,112) n",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36553218,non hispanic white female   n   21 112  n,,,
"Non-Hispanic White Male ( n = 18,373) % (95% CL a )",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36553218,non hispanic white male   n   18 373     95  cl a,,,
"Non-Hispanic White Male ( n = 18,373) n",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36553218,non hispanic white male   n   18 373  n,,,
Non-Hispanic White Menc M (SD),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137725303,non hispanic white menc m  sd,,,
Non-Hispanic White Overall sample M (SD),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137725303,non hispanic white overall sample m  sd,,,
Non-Hispanic White Womenb M (SD),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137725303,non hispanic white womenb m  sd,,,
"Non-Hispanic White, not Hispanic or Latino","http://www.tobaccopreventioncessation.com/Retail-marketing-for-chewing-tobacco-in-Los-Angeles-California,105109,0,2.html#t0001",non hispanic white  not hispanic or latino,,,
Non-Hispanic Whites,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36552029,non hispanic whites,,,
Non-Hispanic and non-Black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36551215,non hispanic and non black,,,
Non-Hispanic black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77023721,non hispanic black,,,
Non-Hispanic black (n or %),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99874365,non hispanic black  n or,,,
Non-Hispanic black (vs. non-Hispanic white),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42810431,non hispanic black  vs  non hispanic white,,,
Non-Hispanic black or African American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/140385311,non hispanic black or african american,,,
Non-Hispanic more than 1 race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204704966,non hispanic more than 1 race,,,
Non-Hispanic or Latino,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/140385500,non hispanic or latino,,,
Non-Hispanic other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/118215974,non hispanic other,,,
Non-Hispanic other race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/92426996,non hispanic other race,,,
Non-Hispanic white,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77023721,non hispanic white,,,
Non-Hispanic white (Ref),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013662,non hispanic white  ref,,,
Non-Hispanic white (n or %),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99874365,non hispanic white  n or,,,
Non-Hispanic white (ref),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42817653,non hispanic white  ref,,,
Non-Hispanic white (ref.),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/209693864,non hispanic white  ref,,,
Non-Hispanic white 1990s %,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013646,non hispanic white 1990s,,,
Non-Hispanic white 1990s (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013646,non hispanic white 1990s  95  ci,,,
Non-Hispanic white 2000s %,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013646,non hispanic white 2000s,,,
Non-Hispanic white 2000s (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013646,non hispanic white 2000s  95  ci,,,
Non-Hispanic white Absolute % change 1990s–2000s,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013649,non hispanic white absolute   change 1990s–2000s,,,
Non-Hispanic white c,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42239498,non hispanic white c,,,
"Non-Hispanic white, %",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113586726,non hispanic white,,,
Non-Hispanic whitec,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948238,non hispanic whitec,,,
Non-Hispanic whites (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87406516,non hispanic whites,,,
"Non-Hispanic, Latino or Spanish origin",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113606557,non hispanic  latino or spanish origin,,,
"Non-Hispanic, black",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202710743,non hispanic  black,,,
"Non-Hispanic, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42242055,non hispanic  n,,,
"Non-Hispanic, other, or multiple race",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/183586197,non hispanic  other  or multiple race,,,
"Non-Hispanic, white",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204704966,non hispanic  white,,,
Non-Hispanic/Latino,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/140384955,non hispanic latino,,,
Non-Hispanics (n= 3389),"http://www.tobaccopreventioncessation.com/Assessing-demographic-differences-in-decisional-balance-for-smoking-prevention-and-temptations-to-try-smoking-among-adolescent-subgroups,70562,0,2.html#t0002",non hispanics  n  3389,,,
Non-Hispanics (n=3388),"http://www.tobaccopreventioncessation.com/Assessing-demographic-differences-in-decisional-balance-for-smoking-prevention-and-temptations-to-try-smoking-among-adolescent-subgroups,70562,0,2.html#t0002",non hispanics  n 3388,,,
