idx,Year,Location,Country,Global,paperIdx,tableIdx,Race/Ethnicity,RaceGroup,RaceSubGroup,total,unit,type,value,proportion,tableLink,paperLink,"Coder1 (0-weighted, 1=unweighted) ",Coder 1 notes,"Coder2 (0-weighted, 1=unweighted) ",Unnamed: 20
41,2019,USA (assumed),USA,USA,4,1,Yemen;,Asian,,17007,num,number of current tobacco smokers (unweighted),212,1.24654554,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
42,2019,USA (assumed),USA,USA,4,1,Albania;,White,,151968,num,overall sample size (unweighted),3482,2.291271847,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
43,2019,USA (assumed),USA,USA,4,1,Albania;,White,,17007,num,number of current tobacco smokers (unweighted),319,1.875698242,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
44,2019,USA (assumed),USA,USA,4,1,Belarus;,White,,151968,num,overall sample size (unweighted),2428,1.59770478,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
45,2019,USA (assumed),USA,USA,4,1,Belarus;,White,,17007,num,number of current tobacco smokers (unweighted),213,1.252425472,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
46,2019,USA (assumed),USA,USA,4,1,Bulgaria;,White,,151968,num,overall sample size (unweighted),3532,2.32417351,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
47,2019,USA (assumed),USA,USA,4,1,Bulgaria;,White,,17007,num,number of current tobacco smokers (unweighted),950,5.585935203,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
48,2019,USA (assumed),USA,USA,4,1,Georgia;,White,,151968,num,overall sample size (unweighted),962,0.6330280059,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
49,2019,USA (assumed),USA,USA,4,1,Georgia;,White,,17007,num,number of current tobacco smokers (unweighted),86,0.5056741342,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
50,2019,USA (assumed),USA,USA,4,1,Greece;,White,,151968,num,overall sample size (unweighted),4096,2.695304275,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
51,2019,USA (assumed),USA,USA,4,1,Greece;,White,,17007,num,number of current tobacco smokers (unweighted),535,3.145763509,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
52,2019,USA (assumed),USA,USA,4,1,Italy;,White,,151968,num,overall sample size (unweighted),1428,0.9396715098,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
53,2019,USA (assumed),USA,USA,4,1,Italy;,White,,17007,num,number of current tobacco smokers (unweighted),313,1.840418651,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
54,2019,USA (assumed),USA,USA,4,1,Kyrgyzstan;,Asian,,151968,num,overall sample size (unweighted),3468,2.282059381,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
55,2019,USA (assumed),USA,USA,4,1,Kyrgyzstan;,Asian,,17007,num,number of current tobacco smokers (unweighted),170,0.9995884048,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
56,2019,USA (assumed),USA,USA,4,1,Latvia;,White,,151968,num,overall sample size (unweighted),4025,2.648583912,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
57,2019,USA (assumed),USA,USA,4,1,Latvia;,White,,17007,num,number of current tobacco smokers (unweighted),861,5.062621274,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
58,2019,USA (assumed),USA,USA,4,1,Lithuania;,White,,151968,num,overall sample size (unweighted),3113,2.04845757,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
59,2019,USA (assumed),USA,USA,4,1,Lithuania;,White,,17007,num,number of current tobacco smokers (unweighted),736,4.327629799,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
60,2019,USA (assumed),USA,USA,4,1,Moldova;,White,,151968,num,overall sample size (unweighted),3548,2.334702043,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
61,2019,USA (assumed),USA,USA,4,1,Moldova;,White,,17007,num,number of current tobacco smokers (unweighted),285,1.675780561,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
62,2019,USA (assumed),USA,USA,4,1,Montenegro;,White,,151968,num,overall sample size (unweighted),3692,2.429458833,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
63,2019,USA (assumed),USA,USA,4,1,Montenegro;,White,,17007,num,number of current tobacco smokers (unweighted),342,2.010936673,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
64,2019,USA (assumed),USA,USA,4,1,Portugal;,White,,151968,num,overall sample size (unweighted),7600,5.001052853,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
65,2019,USA (assumed),USA,USA,4,1,Portugal;,White,,17007,num,number of current tobacco smokers (unweighted),902,5.303698477,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
66,2019,USA (assumed),USA,USA,4,1,Romania;,White,,151968,num,overall sample size (unweighted),3328,2.189934723,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
67,2019,USA (assumed),USA,USA,4,1,Romania;,White,,17007,num,number of current tobacco smokers (unweighted),348,2.046216264,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
68,2019,USA (assumed),USA,USA,4,1,San Marino;,White,,151968,num,overall sample size (unweighted),534,0.3513897663,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
69,2019,USA (assumed),USA,USA,4,1,San Marino;,White,,17007,num,number of current tobacco smokers (unweighted),77,0.452754748,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
70,2019,USA (assumed),USA,USA,4,1,Serbia;,White,,151968,num,overall sample size (unweighted),3076,2.024110339,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
71,2019,USA (assumed),USA,USA,4,1,Serbia;,White,,17007,num,number of current tobacco smokers (unweighted),460,2.704768625,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
72,2019,USA (assumed),USA,USA,4,1,Argentina;,Hispanic,,151968,num,overall sample size (unweighted),2069,1.361470836,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
73,2019,USA (assumed),USA,USA,4,1,Argentina;,Hispanic,,17007,num,number of current tobacco smokers (unweighted),355,2.087375786,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
74,2019,USA (assumed),USA,USA,4,1,Bahamas;,Hispanic,,151968,num,overall sample size (unweighted),1033,0.6797483681,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
75,2019,USA (assumed),USA,USA,4,1,Bahamas;,Hispanic,,17007,num,number of current tobacco smokers (unweighted),108,0.6350326336,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
76,2019,USA (assumed),USA,USA,4,1,Barbados;,Others,,151968,num,overall sample size (unweighted),1306,0.8593914508,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
77,2019,USA (assumed),USA,USA,4,1,Barbados;,Others,,17007,num,number of current tobacco smokers (unweighted),155,0.9113894279,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
78,2019,USA (assumed),USA,USA,4,1,Belize;,Others,,151968,num,overall sample size (unweighted),1273,0.8376763529,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
79,2019,USA (assumed),USA,USA,4,1,Belize;,Others,,17007,num,number of current tobacco smokers (unweighted),131,0.7702710649,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
80,2019,USA (assumed),USA,USA,4,1,Costa Rica;,Native Hawaiian or other Pacific Islander,,151968,num,overall sample size (unweighted),2158,1.420035797,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
81,2019,USA (assumed),USA,USA,4,1,Costa Rica;,Native Hawaiian or other Pacific Islander,,17007,num,number of current tobacco smokers (unweighted),171,1.005468337,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
82,2019,USA (assumed),USA,USA,4,1,El Salvador;,Hispanic,,151968,num,overall sample size (unweighted),2567,1.689171405,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
83,2019,USA (assumed),USA,USA,4,1,El Salvador;,Hispanic,,17007,num,number of current tobacco smokers (unweighted),302,1.775739401,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
84,2019,USA (assumed),USA,USA,4,1,Guatemala;,Hispanic,,151968,num,overall sample size (unweighted),3351,2.205069488,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
85,2019,USA (assumed),USA,USA,4,1,Guatemala;,Hispanic,,17007,num,number of current tobacco smokers (unweighted),479,2.816487329,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
86,2019,USA (assumed),USA,USA,4,1,Guyana;,Others,,151968,num,overall sample size (unweighted),1000,0.6580332702,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
87,2019,USA (assumed),USA,USA,4,1,Guyana;,Others,,17007,num,number of current tobacco smokers (unweighted),105,0.6173928382,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
88,2019,USA (assumed),USA,USA,4,1,Nicaragua;,Hispanic,,151968,num,overall sample size (unweighted),3006,1.97804801,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
89,2019,USA (assumed),USA,USA,4,1,Nicaragua;,Hispanic,,17007,num,number of current tobacco smokers (unweighted),394,2.316693126,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
90,2019,USA (assumed),USA,USA,4,1,Panama;,Hispanic,,151968,num,overall sample size (unweighted),4077,2.682801642,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
91,2019,USA (assumed),USA,USA,4,1,Panama;,Hispanic,,17007,num,number of current tobacco smokers (unweighted),316,1.858058447,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
92,2019,USA (assumed),USA,USA,4,1,Paraguay;,Hispanic,,151968,num,overall sample size (unweighted),5153,3.390845441,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
93,2019,USA (assumed),USA,USA,4,1,Paraguay;,Hispanic,,17007,num,number of current tobacco smokers (unweighted),331,1.946257423,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
94,2019,USA (assumed),USA,USA,4,1,Peru;,Hispanic,,151968,num,overall sample size (unweighted),2299,1.512818488,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
95,2019,USA (assumed),USA,USA,4,1,Peru;,Hispanic,,17007,num,number of current tobacco smokers (unweighted),229,1.346504381,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
96,2019,USA (assumed),USA,USA,4,1,Bhutan;,Asian,,151968,num,overall sample size (unweighted),1378,0.9067698463,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
97,2019,USA (assumed),USA,USA,4,1,Bhutan;,Asian,,17007,num,number of current tobacco smokers (unweighted),206,1.211265949,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
98,2019,USA (assumed),USA,USA,4,1,Indonesia;,Native Hawaiian or other Pacific Islander,,151968,num,overall sample size (unweighted),4317,2.840729627,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
99,2019,USA (assumed),USA,USA,4,1,Indonesia;,Native Hawaiian or other Pacific Islander,,17007,num,number of current tobacco smokers (unweighted),691,4.063032869,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
100,2019,USA (assumed),USA,USA,4,1,Thailand;,Asian,,151968,num,overall sample size (unweighted),1721,1.132475258,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
101,2019,USA (assumed),USA,USA,4,1,Thailand;,Asian,,17007,num,number of current tobacco smokers (unweighted),218,1.281825131,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
102,2019,USA (assumed),USA,USA,4,1,Timor-Leste;,Asian,,151968,num,overall sample size (unweighted),1908,1.255527479,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
103,2019,USA (assumed),USA,USA,4,1,Timor-Leste;,Asian,,17007,num,number of current tobacco smokers (unweighted),529,3.110483918,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
104,2019,USA (assumed),USA,USA,4,1,Brunei Darussalam;,Native Hawaiian or other Pacific Islander,,151968,num,overall sample size (unweighted),917,0.6034165087,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
105,2019,USA (assumed),USA,USA,4,1,Brunei Darussalam;,Native Hawaiian or other Pacific Islander,,17007,num,number of current tobacco smokers (unweighted),80,0.4703945434,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
106,2019,USA (assumed),USA,USA,4,1,Mongolia;,Asian,,151968,num,overall sample size (unweighted),6178,4.065329543,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
107,2019,USA (assumed),USA,USA,4,1,Mongolia;,Asian,,17007,num,number of current tobacco smokers (unweighted),399,2.346092785,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
108,2019,USA (assumed),USA,USA,4,1,Philippines;,Asian,,151968,num,overall sample size (unweighted),5885,3.872525795,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
109,2019,USA (assumed),USA,USA,4,1,Philippines;,Asian,,17007,num,number of current tobacco smokers (unweighted),711,4.180631505,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
110,2019,USA (assumed),USA,USA,4,1,South Korea;,Asian,,151968,num,overall sample size (unweighted),3437,2.26166035,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
111,2019,USA (assumed),USA,USA,4,1,South Korea;,Asian,,17007,num,number of current tobacco smokers (unweighted),186,1.093667313,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
112,2019,USA (assumed),USA,USA,4,1,Vietnam;,Asian,,151968,num,overall sample size (unweighted),3430,2.257054117,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
113,2019,USA (assumed),USA,USA,4,1,Vietnam;,Asian,,17007,num,number of current tobacco smokers (unweighted),110,0.6467924972,"http://www.tobaccopreventioncessation.com/Percentage-of-current-tobacco-smoking-students-receiving-help-nor-advice-to-quit,102994,0,2.html#t0001",http://dx.doi.org/10.18332/tpc/102994,,,,
12,2019,Malaysia,Other,Foreign,8,1,"Malay, non-Hispanic;",Asian,,6468696,num,estimated population,4017473,62.10638126,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
13,2019,Malaysia,Other,Foreign,8,1,"Malay, non-Hispanic;",Asian,,1141,num,sample,703,61.61262051,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
14,2019,Malaysia,Other,Foreign,8,1,"Malay, non-Hispanic;",Asian,,100,%,percent,62.1,62.1,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
15,2019,Malaysia,Other,Foreign,8,1,"Chinese, non-Hispanic;",Asian,,6468696,num,estimated population,1281888,19.81679151,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
16,2019,Malaysia,Other,Foreign,8,1,"Chinese, non-Hispanic;",Asian,,1141,num,sample,208,18.22962314,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
17,2019,Malaysia,Other,Foreign,8,1,"Chinese, non-Hispanic;",Asian,,100,%,percent,19.8,19.8,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
18,2019,Malaysia,Other,Foreign,8,1,"Indian, non-Hispanic;",Asian,,6468696,num,estimated population,602815,9.31895702,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
19,2019,Malaysia,Other,Foreign,8,1,"Indian, non-Hispanic;",Asian,,1141,num,sample,82,7.186678352,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
20,2019,Malaysia,Other,Foreign,8,1,"Indian, non-Hispanic;",Asian,,100,%,percent,9.3,9.3,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
21,2019,Malaysia,Other,Foreign,8,1,Others;,Others,,6468696,num,estimated population,566520,8.757870211,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
22,2019,Malaysia,Other,Foreign,8,1,Others;,Others,,1141,num,sample,148,12.971078,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
23,2019,Malaysia,Other,Foreign,8,1,Others;,Others,,100,%,percent,9.8,9.8,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0001",http://dx.doi.org/10.18332/tid/100692,,,,
0,2019,Malaysia,Other,Foreign,8,2,"Malay, non-Hispanic;",Asian,,639181,num,living in smoke-free home estimated population,419952,65.70157749,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0002",http://dx.doi.org/10.18332/tid/100692,,,,
1,2019,Malaysia,Other,Foreign,8,2,"Malay, non-Hispanic;",Asian,,124,num,living in smoke-free home sample*,83,66.93548387,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0002",http://dx.doi.org/10.18332/tid/100692,,,,
2,2019,Malaysia,Other,Foreign,8,2,"Malay, non-Hispanic;",Asian,,100,%,percent,18.3,18.3,"http://www.tobaccoinduceddiseases.org/Is-the-implementation-of-smoke-free-policies-at-workplaces-nassociated-with-living,100692,0,2.html#t0002",http://dx.doi.org/10.18332/tid/100692,,,,
